timestamp,eeg_value
778636,1749
778640,1895
778644,1965
778648,1868
778652,1731
778656,1712
778660,1884
778664,1937
778668,1870
778672,1723
778676,1769
778680,1879
778684,1906
778688,1824
778692,1739
778696,1815
778700,1903
778704,2065
778708,1893
778712,1743
778716,1631
778720,1915
778724,1984
778728,1840
778732,1744
778736,1820
778740,1947
778744,1911
778748,1835
778752,1711
778756,1575
778760,1903
778764,1943
778768,1845
778772,1699
778776,1778
778780,1869
778784,2042
778788,1818
778792,1681
778796,1760
778800,1895
778804,2026
778808,1833
778812,1727
778816,1660
778820,1934
778824,2017
778828,1803
778832,1721
778836,1781
778840,1857
778844,1981
778848,1808
778852,1712
778856,1780
778860,1845
778864,1939
778868,1869
778872,1728
778876,1791
778880,1907
778884,1914
778888,1849
778892,1717
778896,1790
778900,1828
778904,2100
778908,1904
778912,1697
778916,1756
778920,1892
778924,1967
778928,1847
778932,1747
778936,1639
778940,1847
778944,1980
778948,1849
778952,1690
778956,1602
778960,1927
778964,1893
778968,1855
778972,1671
778976,1589
778980,1917
778984,1942
778988,1798
778992,1559
778996,1723
779000,1976
779004,2026
779008,1867
779012,1707
779016,1645
779020,2002
779024,1981
779028,1871
779032,1685
779036,1712
779040,2045
779044,1906
779048,1820
779052,1665
779056,1811
779060,1943
779064,2026
779068,1840
779072,1695
779076,1664
779080,1969
779084,1873
779088,1816
779092,1661
779096,1776
779100,2005
779104,1943
779108,1904
779112,1603
779116,1779
779120,2014
779124,2000
779128,1900
779132,1733
779136,1693
779140,1957
779144,1903
779148,1841
779152,1599
779156,1744
779160,1917
779164,1910
779168,1822
779172,1678
779176,1749
779180,1837
779184,2032
779188,1851
779192,1601
779196,1719
779200,1792
779204,1841
779208,1840
779212,1587
779216,1807
779220,1842
779224,1972
779228,1845
779232,1679
779236,1813
779240,1900
779244,1965
779248,1851
779252,1685
779256,1799
779260,1928
779264,2004
779268,1920
779272,1718
779276,1741
779280,1892
779284,1900
779288,1857
779292,1587
779296,1639
779300,2054
779304,2035
779308,1865
779312,1653
779316,1872
779320,1964
779324,2005
779328,1886
779332,1655
779336,1682
779340,2046
779344,1973
779348,1961
779352,1759
779356,1841
779360,1983
779364,2017
779368,1877
779372,1681
779376,1935
779380,1993
779384,1922
779388,1898
779392,1634
779396,1680
779400,1983
779404,1997
779408,1859
779412,1583
779416,1856
779420,1970
779424,2011
779428,1865
779432,1605
779436,1775
779440,1957
779444,1932
779448,1800
779452,1535
779456,1775
779460,1951
779464,1918
779468,1801
779472,1712
779476,1825
779480,1918
779484,2004
779488,1867
779492,1583
779496,1815
779500,1951
779504,1923
779508,1759
779512,1437
779516,1690
779520,1907
779524,1997
779528,1904
779532,1505
779536,1707
779540,1907
779544,1905
779548,1838
779552,1492
779556,1712
779560,1931
779564,2037
779568,1881
779572,1573
779576,1827
779580,1909
779584,1872
779588,1712
779592,1583
779596,1746
779600,1948
779604,1934
779608,1827
779612,1603
779616,1739
779620,1989
779624,1985
779628,1780
779632,1485
779636,1599
779640,1968
779644,1987
779648,1814
779652,1526
779656,1712
779660,1927
779664,1851
779668,1813
779672,1510
779676,1635
779680,1974
779684,1943
779688,1837
779692,1645
779696,1825
779700,1906
779704,1978
779708,1818
779712,1648
779716,1826
779720,1901
779724,1945
779728,1851
779732,1616
779736,1777
779740,1883
779744,1932
779748,1765
779752,1609
779756,1610
779760,1919
779764,1904
779768,1808
779772,1609
779776,1727
779780,1894
779784,1914
779788,1793
779792,1694
779796,1744
779800,1900
779804,1802
779808,1807
779812,1629
779816,1718
779820,1856
779824,1938
779828,1786
779832,1706
779836,1775
779840,1894
779844,1904
779848,1747
779852,1683
779856,1795
779860,1840
779864,1975
779868,1779
779872,1650
779876,1799
779880,1857
779884,1853
779888,1777
779892,1680
779896,1861
779900,1920
779904,1808
779908,1776
779912,1633
779916,1811
779920,1887
779924,1871
779928,1783
779932,1602
779936,1795
779940,1872
779944,1933
779948,1750
779952,1593
779956,1776
779960,1881
779964,1968
779968,1792
779972,1607
779976,1783
779980,1825
779984,1796
779988,1797
779992,1740
779996,1827
780000,1910
780004,1914
780008,1722
780012,1474
780016,1757
780020,1905
780024,1936
780028,1823
780032,1557
780036,1817
780040,1898
780044,1730
780048,1819
780052,1439
780056,1750
780060,1875
780064,1904
780068,1769
780072,1479
780076,1760
780080,1889
780084,1863
780088,1772
780092,1507
780096,1809
780100,1985
780104,1890
780108,1753
780112,1535
780116,1849
780120,1946
780124,2006
780128,1777
780132,1472
780136,1795
780140,1969
780144,1969
780148,1764
780152,1618
780156,1817
780160,1904
780164,1981
780168,1773
780172,1708
780176,1769
780180,1886
780184,1793
780188,1810
780192,1680
780196,1785
780200,1904
780204,1879
780208,1776
780212,1792
780216,1869
780220,1978
780224,1787
780228,1875
780232,1744
780236,1841
780240,2000
780244,1783
780248,1814
780252,1703
780256,1875
780260,1998
780264,1808
780268,1824
780272,1693
780276,1802
780280,1907
780284,1927
780288,1833
780292,1642
780296,1813
780300,1963
780304,2022
780308,1817
780312,1748
780316,1794
780320,1934
780324,1861
780328,1899
780332,1714
780336,1936
780340,2020
780344,1931
780348,1862
780352,1493
780356,1875
780360,2007
780364,1826
780368,1854
780372,1590
780376,1863
780380,2034
780384,1971
780388,1851
780392,1526
780396,1840
780400,1984
780404,1895
780408,1856
780412,1701
780416,1866
780420,2021
780424,1943
780428,1858
780432,1661
780436,1840
780440,2000
780444,2027
780448,1853
780452,1520
780456,1922
780460,2029
780464,2096
780468,1804
780472,1757
780476,1920
780480,1998
780484,1895
780488,1801
780492,1686
780496,1871
780500,2014
780504,2039
780508,1737
780512,1600
780516,1907
780520,2090
780524,2017
780528,1834
780532,1712
780536,1918
780540,2095
780544,1855
780548,1808
